created_at,entry_id,field1,latitude,longitude,elevation,status
2023-12-08T23:34:22+05:30,1,33.69141,,,,
2023-12-08T23:34:45+05:30,2,33.59375,,,,
2023-12-08T23:35:07+05:30,3,33.69141,,,,
2023-12-08T23:35:33+05:30,4,33.69141,,,,
2023-12-08T23:35:56+05:30,5,33.20313,,,,
2023-12-08T23:39:55+05:30,6,36.42578,,,,
2023-12-08T23:40:17+05:30,7,37.30469,,,,
2023-12-08T23:40:39+05:30,8,35.74219,,,,
2023-12-08T23:40:57+05:30,9,33.78906,,,,
2023-12-08T23:41:21+05:30,10,36.81641,,,,
2023-12-08T23:41:44+05:30,11,34.66797,,,,
2023-12-08T23:42:06+05:30,12,34.96094,,,,
2023-12-08T23:42:32+05:30,13,35.15625,,,,
2023-12-08T23:42:55+05:30,14,38.47656,,,,
2023-12-08T23:43:18+05:30,15,33.98438,,,,
2023-12-08T23:43:43+05:30,16,35.15625,,,,
2023-12-08T23:44:06+05:30,17,33.49609,,,,
2023-12-08T23:44:28+05:30,18,33.49609,,,,
2023-12-08T23:44:51+05:30,19,33.39844,,,,
2023-12-08T23:45:14+05:30,20,31.83594,,,,
2023-12-08T23:45:36+05:30,21,30.27344,,,,
2023-12-08T23:46:01+05:30,22,33.20313,,,,
2023-12-08T23:46:23+05:30,23,33.59375,,,,
2023-12-08T23:47:00+05:30,24,32.81250,,,,
2023-12-08T23:47:39+05:30,25,33.10547,,,,
2023-12-08T23:48:07+05:30,26,32.22656,,,,
2023-12-08T23:48:33+05:30,27,32.22656,,,,
2023-12-08T23:48:55+05:30,28,32.22656,,,,
2023-12-08T23:49:17+05:30,29,32.51953,,,,
2023-12-08T23:49:42+05:30,30,32.81250,,,,
2023-12-08T23:50:05+05:30,31,31.64063,,,,
2023-12-08T23:50:29+05:30,32,30.76172,,,,
2023-12-08T23:50:52+05:30,33,32.91016,,,,
2023-12-08T23:51:20+05:30,34,31.34766,,,,
2023-12-08T23:51:44+05:30,35,33.30078,,,,
2023-12-08T23:52:42+05:30,36,29.88281,,,,
2023-12-08T23:53:05+05:30,37,31.25000,,,,
2023-12-08T23:53:28+05:30,38,32.03125,,,,
2023-12-08T23:53:52+05:30,39,30.07813,,,,
2023-12-08T23:54:19+05:30,40,33.49609,,,,
2023-12-08T23:54:42+05:30,41,31.05469,,,,
2023-12-08T23:55:05+05:30,42,32.61719,,,,
2023-12-08T23:55:28+05:30,43,29.58984,,,,
2023-12-08T23:55:51+05:30,44,29.68750,,,,
2023-12-08T23:56:14+05:30,45,29.58984,,,,
2023-12-08T23:56:37+05:30,46,29.58984,,,,
2023-12-08T23:57:06+05:30,47,28.32031,,,,
2023-12-08T23:57:29+05:30,48,29.49219,,,,
2023-12-08T23:57:52+05:30,49,29.29688,,,,
